state,noMercyAttack,noCozirAttack,noHighAttack,noCozirDefend,takeHighDefend,tillTheEndDefend,takeNoLowDefend,seriesImportance,weightImportance,cnt
beginning,0.2228145,0.2525985,0.530692,0.280665,0.4068125,0.2778583,0.2965661,0.4214713,0.383156,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,0.8257796,0.01,0.01,0.01,0.01,0.8257796,0.01,0.4214713,0.383156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
